Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Energy Consumption,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,Proportion of Energy from Renewables,R&D Expenditure,Renewable Energy Patents,Innovation Index,GDP,Population,Government Policies,Renewable Energy Targets,Public-Private Partnerships in Energy,Energy Market Liberalization,Ease of Doing Business,Regulatory Quality,Political Stability,Control of Corruption,CO2 Emissions,Average Annual Temperature,Solar Irradiance,Wind Speed,Hydro Potential,Biomass Availability
Canada,2012,Hydro,99925.06126,26824.44371,3439819648.0,743320.0954,523.2271588,0.7577006914,0.135676194,345335368.7,96.68469929,4213886246.0,421,27.28895279,31625827987332,481876601,0,0,0,1,8.445713337,0.838293113,3.118576103,0.5128859384,387603.4583,4.365507535,230.0458609,8.33858106,23.54765534,15.20767249
Brazil,2016,Solar,89553.34701,5021.215089,230691116.5,755329.7813,595.3646423,0.3364355106,0.1152651455,518123314.4,83.42992676,2819583627.0,818,81.19555728,102797607167595,1336318209,0,1,1,1,15.287388,0.4242696619,7.687172852,7.117310202,764702.0839,-7.236200457,101.6332266,2.755193861,93.22074072,64.55887278
France,2002,Hydro,18200.04922,33611.58148,7337585412.0,302879.87,423.2302085,0.3454802461,0.1077488045,844838068.9,50.65318621,7177794816.0,632,66.59895069,25395194643740,677070231,1,1,1,0,42.58156951,5.799124198,3.198958936,1.185237412,74699.23637,11.15917008,188.6944571,12.02965137,24.63759375,56.52379646
Brazil,2014,Solar,82593.1014618037,30016.235570122215,4158375371.394008,273895.4371513934,35.00622907563397,0.425187727193334,0.1954460173726435,366810840.0371308,29.75568858382889,7847293789.020457,875,43.811671174405994,34418288673773,1422504982,0,1,1,1,54.42523499477,7.493097706229683,3.508301530236052,1.2821872025900816,87442.6129960439,14.799615154381932,132.89907302869233,4.775603932712269,66.96177890668386,13.433528523836202
Australia,2015,Biomass,15042.8999,12148.92516,9426153986.0,465093.5105,874.5784168,0.6095778615,0.1662649312,726199983.9,71.52650883,7480487992.0,358,61.45821654,176196615072280,815611375,0,1,1,1,97.26363048,5.899585063,4.895402344,4.133813446,627278.8159,31.28941858,210.523525,3.116105652,36.35908284,41.67936401
Australia,2008,Biomass,74876.0712,12543.45251,3455866137.0,71588.20509,162.819109,0.2949631581,0.4348466953,326290653.8,86.99722195,2212804963.0,397,5.563976485,172375281528140,158043825,0,0,0,0,28.74138067,8.095068061,1.976974069,8.395944465,386514.0722,18.96725828,222.3437834,10.07406937,89.53462458,7.841174794
Japan,2006,Biomass,94795.554,12717.1024,9298247383.0,502032.107,895.896765,0.2470412583,0.1148806914,716298519.0,62.47179468,1941257292.0,215,64.29315512,180328679550818,196117970,0,1,1,1,44.5137658,6.056688241,7.208213433,5.641008618,156401.4514,19.87924691,206.5229206,9.43926883,1.409016212,28.61379459
China,2018,Geothermal,64343.49661,15105.74685,7710290586.0,866350.8736,245.0502485,0.2458564626,0.1407928272,78271383.52,70.31272964,5314580255.0,145,47.61433504,89410506018050,825303813,0,0,1,1,38.30517953,7.169252686,7.038310099,7.432377783,104947.767,26.17242771,209.1877745,13.31582148,35.41338035,18.2053633
India,2002,Geothermal,56811.33184,5382.553725,4272846256.0,916309.8709,796.2127289,0.4130542904,0.3093720328,164909465.3,87.81824477,9923376309.0,129,10.90318815,102474833423464,806834111,1,0,1,0,71.80432774,0.2746055131,2.66489132,0.3074468017,775434.6926,34.89095775,244.6262406,4.741267776,20.2999628,31.38031218
Russia,2016,Hydro,28476.14193,14108.55215,866736604.5,569919.1987,280.1566399,0.8022060184,0.4376252308,501852062.2,52.79969631,9482181930.0,878,44.58303939,28689623879432,580188867,1,0,0,0,79.2616143,5.258765771,4.423546959,1.993513906,63131.61463,39.46503568,194.6917624,8.174213244,66.16141288,50.00034892
Australia,2023,Biomass,85410.08182,23857.82954,2167936458.0,24759.84824,356.4939399,0.01928057213,0.4190028998,771709706.8,80.54025793,167322848.9,591,35.14812994,57624441556351,1024743455,0,0,1,1,44.13998634,1.439011572,1.650190476,0.5766573967,847735.2773,3.336323166,258.6068475,11.63235851,46.59750051,0.8710436658
France,2011,Biomass,78962.16902,14834.70911,9209311894.0,163863.6087,968.2896281,0.6226402569,0.4687446608,846364194.2,91.69298949,6827022192.0,139,90.33266188,105633829843778,101518698,1,0,1,1,18.25765643,9.156169576,4.908667806,9.101971346,226202.1156,37.44570327,225.6402254,5.740440086,34.26334681,30.41029029
Germany,2021,Wind,32371.96925,43753.95831,866397783.8,947682.4832,407.8283006,0.04709009722,0.07513460285,911868156.7,37.61390314,7199788753.0,77,32.39592302,38661371774883,1222196199,0,1,0,0,53.3089181,6.814699698,2.019426709,8.596906042,783379.6366,-0.6521494928,194.3256704,8.61019966,4.429114508,37.39718474
Russia,2021,Solar,78140.21786,35785.19912,4416186033.0,561190.7949,555.740569,0.5460666927,0.4512714083,922694392.5,15.3845575,9078119141.0,444,70.24824728,117243065506394,23159003,0,0,0,0,78.58843012,8.702213392,9.867300126,5.206448293,327312.1356,33.82550735,221.0349012,10.99718158,65.89934809,39.60984497
Australia,2003,Geothermal,19414.71554522477,29097.859340015748,8626867034.949574,360485.18269728904,107.9429044295714,0.7819639738439351,0.1660555846031151,150049032.88408083,47.72785067884384,429787388.89534336,668,40.5945344435822,188187346373424,1126147697,1,0,1,1,21.411292087947785,1.739709157069208,6.883519218849417,0.9258086096726992,842913.1647947435,26.43734966793581,104.46358666732276,1.0924511572568547,78.82492731068467,89.19550049688516
China,2023,Biomass,89107.09709,44460.57035,3576603747.0,864189.7165,542.3122924,0.4456702448,0.05422629717,360329155.7,90.92484565,588450481.9,853,50.74640573,76532736821718,379750003,0,0,0,1,58.55132972,4.976360204,0.1308133309,0.9958432021,711972.8586,3.387739428,100.5698856,7.381932325,94.19606823,63.51676701
China,2014,Geothermal,30503.64216900816,31782.5769688677,475421271.41566765,2924.349376370391,937.9153727706592,0.1008557442357294,0.4297002212576996,45199474.28517299,87.56884845376223,3651714913.11715,863,0.254000431088397,192584257538907,1450656084,1,0,1,1,24.55238564167391,4.223141974547756,9.677124036902873,4.934323162333071,241323.2904675557,30.063587699155427,148.37927135537714,13.453314141064332,7.425742785757339,38.16658240931685
France,2019,Biomass,22154.18063,23907.02157,8487020088.0,975813.9572,314.034291,0.8915302314,0.1076710498,917777900.9,20.65342959,6513485464.0,874,91.94767818,105668043839556,365957186,1,1,0,1,2.06300884,1.801732319,8.784623833,5.478087355,837652.7256,11.33799486,227.3757389,2.089572417,92.3875873,12.42150408
Germany,2020,Biomass,18351.90828,4139.684725,1828323347.0,405547.4394,497.201264,0.866277391,0.4219304274,376687216.3,53.77497407,6084069017.0,509,68.58532611,52720928220459,469638161,1,0,1,1,48.91992707,9.264592286,8.160480373,4.925915443,220608.8775,30.32208096,253.3043963,14.29901637,75.42199027,75.57967664
France,2010,Solar,16851.85571,29291.13741,8892920159.0,689533.1344,966.5436817,0.9594941261,0.05706252928,41128482.48,83.30930678,3229022195.0,886,84.07659797,12040424023504,870291967,1,1,0,0,92.98390041,4.6582841,6.775362424,0.1639733323,988480.3972,16.24019893,214.111311,8.851163101,62.08088916,25.23951298
China,2006,Solar,91204.43521578608,31557.86838263191,1612004383.7367022,484198.42735925585,334.5596567284401,0.3880758097772319,0.0895369588423897,503330431.77631736,41.9090384415275,3904517737.4202614,500,55.36565065736312,136573177537299,939374964,0,1,0,1,0.7883792856391292,6.2774508234352435,5.769960756595694,3.071327189520395,607577.5629317608,18.399902191706893,126.30171155425371,7.91136275598119,57.939365037833866,83.18746786055236
USA,2006,Solar,84289.71195,40503.66206,435536891.3,15960.03525,849.7004841,0.8687726444,0.2248557456,677842398.3,70.16421854,9191336470.0,703,34.03025411,175217932792813,317960541,0,1,1,0,46.20986448,6.983563003,3.490599046,8.428441828,877171.4613,-0.48793171,144.0322264,3.317830348,94.30930821,3.319731108
Germany,2006,Geothermal,29425.93426,5374.46911,6213168549.0,635379.8143,855.8424032,0.3666864853,0.2887161752,690367101.6,77.61117424,5266766039.0,273,99.86136057,47824394346370,109355249,0,1,0,1,25.68022985,2.956710194,1.093392566,1.180436658,483568.695,34.35602439,225.014147,14.43610886,61.29257509,34.44132716
Brazil,2019,Solar,11755.57025,33452.14384,4147890343.0,615252.2589,719.9058523,0.1283300815,0.3739869762,474193996.9,28.97506977,3308868752.0,211,16.75483335,52325692753309,418011535,1,1,0,0,78.09470914,8.985243801,3.128358152,7.877435971,308421.6994,30.12968413,195.0047832,14.39661895,16.01036598,94.62290608
France,2010,Biomass,63144.38199,28321.58303,399806747.8,439326.9709,727.2839368,0.7226503801,0.3356570896,210435232.4,1.315833982,6093535689.0,86,94.83621865,135313901484569,1050073912,1,0,0,1,18.00241515,5.089211069,3.636497941,8.616424949,890852.8879,3.454594676,186.3259822,2.964669837,2.060284088,18.1342477
France,2022,Wind,8118.768692,31558.32934,2932029525.0,738818.239,97.69558343,0.986981731,0.4763252012,36285877.36,52.62979058,4360581829.0,361,76.74838711,195154816987406,307620936,1,0,1,0,58.18831,8.029708532,0.649751854,0.4069743325,740000.2303,30.00083607,153.2465398,6.929748675,73.7264742,3.295793277
Russia,2010,Solar,22678.92155,2066.750081,2757347786.0,307747.4053,660.9836858,0.77881873,0.0808669318,662482558.6,12.20749653,7657347080.0,646,93.4237862,45295586513185,427717642,1,0,0,1,34.73053771,2.145369881,9.346469461,5.133430382,505890.4845,32.60804022,233.6779453,2.651417354,63.04857338,96.14047148
USA,2012,Geothermal,53191.77295,29412.07942,7265713416.0,154973.0002,113.1073663,0.1560077639,0.3838860794,99230867.85,96.1743403,5203855639.0,913,83.22411431,56039654636,246244624,1,1,1,0,70.14902121,8.136506142,2.427177568,1.479170392,483513.3147,34.45419102,100.2624714,1.218306802,5.714235498,93.81739747
Russia,2020,Solar,50722.20706,13774.21074,28981954.19,980846.4539,153.2798546,0.1949563211,0.2674981395,419308631.0,75.36772794,8198701903.0,811,10.09075814,68135604754183,1088421612,1,1,1,1,76.29827415,0.7752034436,5.354181062,1.235489712,384926.3961,12.1664578,289.7328036,8.226627304,46.39396629,57.87188804
Brazil,2016,Wind,20002.3043,35888.94588,3311385165.0,307257.1146,839.5685973,0.5114756829,0.06891849461,65890228.39,23.24809043,9824478753.0,543,23.77726806,175571349738703,715105720,1,1,1,1,11.37840929,9.022718396,6.69994506,0.2865710862,92752.15752,38.42615813,298.4133283,5.911023335,33.56103127,14.37677366
